Junction,Direction,Speed (mph),Time,Day
1 to 2,Northbound,63,08:00,Monday
1 to 2,Southbound,9,08:00,Monday
2 to 4,Northbound,67,08:00,Monday
2 to 4,Southbound,34,08:00,Monday
4 to 5,Northbound,68,08:00,Monday
4 to 5,Southbound,64,08:00,Monday
5 to 6,Northbound,68,08:00,Monday
5 to 6,Southbound,39,08:00,Monday
6 to 6A,Northbound,65,08:00,Monday
6 to 6A,Southbound,66,08:00,Monday
6A to 7,Northbound,61,08:00,Monday
6A to 7,Southbound,60,08:00,Monday
7 to 8,Northbound,57,08:00,Monday
7 to 8,Southbound,58,08:00,Monday
8 to 9,Northbound,62,08:00,Monday
 8 to 9,Southbound,41,08:00,Monday
9 to 10,Northbound,58,08:00,Monday
9 to 10,Southbound,27,08:00,Monday
10 to 11,Northbound,51,08:00,Monday
10 to 11,Southbound,38,08:00,Monday
11 to 11A,Northbound,51,08:00,Monday
11 to 11A,Southbound,17,08:00,Monday
11A to 12,Northbound,48,08:00,Monday
11A to 12,Southbound,14,08:00,Monday
12 to 13,Northbound,50,08:00,Monday
12 to 13,Southbound,48,08:00,Monday
13 to14,Northbound,64,08:00,Monday
13 to14,Southbound,61,08:00,Monday
14 to 15,Northbound,64,08:00,Monday
14 to15,Southbound,62,08:00,Monday
15 to 15A,Northbound,68,08:00,Monday
15 to 15A,Southbound,65,08:00,Monday
15A to 16,Northbound,67,08:00,Monday
15A to 16,Southbound,65,08:00,Monday
16 to 17,Northbound,67,08:00,Monday
16 to 17,Southbound,65,08:00,Monday
17 to 18,Northbound,63,08:00,Monday
17 to 18,Southbound,58,08:00,Monday
18 to 19,Northbound,58,08:00,Monday
18 to 19,Southbound,57,08:00,Monday
19 to 20,Northbound,57,08:00,Monday
19 to 20,Southbound,58,08:00,Monday
20 to 21,Northbound,63,08:00,Monday
20 to 21,Southbound,64,08:00,Monday
21 to 21A,Northbound,30,08:00,Monday
21 to 21A,Southbound,32,08:00,Monday
21A to 22,Northbound,60,08:00,Monday
21A to 22,Southbound,23,08:00,Monday
22 to 23,Northbound,66,08:00,Monday
22 to 23,Southbound,57,08:00,Monday
23 to 23A,Northbound,61,08:00,Monday
23 to 23A,Southbound,61,08:00,Monday
23A to 24,Northbound,61,08:00,Monday
23A to 24,Southbound,52,08:00,Monday
24 to 24A,Northbound,62,08:00,Monday
24 to 24A,Southbound,41,08:00,Monday
24A to 25,Northbound,61,08:00,Monday
24A to 25,Southbound,53,08:00,Monday
25 to 26,Northbound,64,08:00,Monday
25 to 26,Southbound,62,08:00,Monday
26 to 27,Northbound,65,08:00,Monday
26 to 27,Southbound,62,08:00,Monday
27 to 28,Northbound,59,08:00,Monday
27 to 28,Southbound,63,08:00,Monday
28 to 29,Northbound,62,08:00,Monday
28 to 29,Southbound,64,08:00,Monday
29 to 29A,Northbound,52,08:00,Monday
29 to 29A,Southbound,44,08:00,Monday
29A to 30,Northbound,38,08:00,Monday
29A to 30,Southbound,12,08:00,Monday
30 to 31,Northbound,50,08:00,Monday
30 to 31,Southbound,21,08:00,Monday
31 to 32,Northbound,41,08:00,Monday
31 to 32,Southbound,35,08:00,Monday
32 to 33,Northbound,28,08:00,Monday
32 to 33,Southbound,44,08:00,Monday
33 to 34,Northbound,47,08:00,Monday
33 to 34,Southbound,45,08:00,Monday
34 to 35,Northbound,48,08:00,Monday
34 to 35,Southbound,46,08:00,Monday
35 to 35A,Northbound,61,08:00,Monday
35 to 35A,Southbound,36,08:00,Monday
35A to 36,Northbound,64,08:00,Monday
35A to 36,Southbound,23,08:00,Monday
36 to 37,Northbound,61,08:00,Monday
36 to 37,Southbound,27,08:00,Monday
37 to 38,Northbound,63,08:00,Monday
37 to 38,Southbound,55,08:00,Monday
38 to 39,Northbound,59,08:00,Monday
38 to 39,Southbound,61,08:00,Monday
39 to 40,Northbound,57,08:00,Monday
39 to 40,Southbound,63,08:00,Monday
40 to 41,Northbound,55,08:00,Monday
40 to 41,Southbound,61,08:00,Monday
41 to 42,Northbound,49,08:00,Monday
41 to 42,Southbound,62,08:00,Monday
42 to 43/44,Northbound,31,08:00,Monday
42 to 43/44,Southbound,60,08:00,Monday
43/44 to 45,Northbound,14,08:00,Monday
43/44 to 45,Southbound,60,08:00,Monday
45 to 46,Northbound,27,08:00,Monday
45 to 46,Southbound,43,08:00,Monday
46 to 47,Northbound,47,08:00,Monday
46 to 47,Southbound,15,08:00,Monday
47 to 48,Northbound,50,08:00,Monday
47 to 48,Southbound,14,08:00,Monday
1 to 2,Northbound,60,13:00,Monday
1 to 2,Southbound,59,13:00,Monday
2 to 4,Northbound,66,13:00,Monday
2 to 4,Southbound,68,13:00,Monday
4 to 5,Northbound,70,13:00,Monday
4 to 5,Southbound,67,13:00,Monday
5 to 6,Northbound,65,13:00,Monday
5 to 6,Southbound,65,13:00,Monday
6 to 6A,Northbound,66,13:00,Monday
6 to 6A,Southbound,69,13:00,Monday
6A to 7,Northbound,62,13:00,Monday
6A to 7,Southbound,39,13:00,Monday
7 to 8,Northbound,58,13:00,Monday
7 to 8,Southbound,43,13:00,Monday
8 to 9,Northbound,61,13:00,Monday
 8 to 9,Southbound,59,13:00,Monday
9 to 10,Northbound,57,13:00,Monday
9 to 10,Southbound,58,13:00,Monday
10 to 11,Northbound,52,13:00,Monday
10 to 11,Southbound,44,13:00,Monday
11 to 11A,Northbound,50,13:00,Monday
11 to 11A,Southbound,32,13:00,Monday
11A to 12,Northbound,53,13:00,Monday
11A to 12,Southbound,51,13:00,Monday
12 to 13,Northbound,51,13:00,Monday
12 to 13,Southbound,53,13:00,Monday
13 to14,Northbound,62,13:00,Monday
13 to14,Southbound,61,13:00,Monday
14 to 15,Northbound,63,13:00,Monday
14 to15,Southbound,66,13:00,Monday
15 to 15A,Northbound,65,13:00,Monday
15 to 15A,Southbound,62,13:00,Monday
15A to 16,Northbound,68,13:00,Monday
15A to 16,Southbound,63,13:00,Monday
16 to 17,Northbound,68,13:00,Monday
16 to 17,Southbound,63,13:00,Monday
17 to 18,Northbound,68,13:00,Monday
17 to 18,Southbound,59,13:00,Monday
18 to 19,Northbound,65,13:00,Monday
18 to 19,Southbound,66,13:00,Monday
19 to 20,Northbound,67,13:00,Monday
19 to 20,Southbound,68,13:00,Monday
20 to 21,Northbound,70,13:00,Monday
20 to 21,Southbound,69,13:00,Monday
21 to 21A,Northbound,62,13:00,Monday
21 to 21A,Southbound,62,13:00,Monday
21A to 22,Northbound,64,13:00,Monday
21A to 22,Southbound,69,13:00,Monday
22 to 23,Northbound,65,13:00,Monday
22 to 23,Southbound,65,13:00,Monday
23 to 23A,Northbound,69,13:00,Monday
23 to 23A,Southbound,65,13:00,Monday
23A to 24,Northbound,70,13:00,Monday
23A to 24,Southbound,59,13:00,Monday
24 to 24A,Northbound,68,13:00,Monday
24 to 24A,Southbound,60,13:00,Monday
24A to 25,Northbound,66,13:00,Monday
24A to 25,Southbound,59,13:00,Monday
25 to 26,Northbound,64,13:00,Monday
25 to 26,Southbound,62,13:00,Monday
26 to 27,Northbound,64,13:00,Monday
26 to 27,Southbound,63,13:00,Monday
27 to 28,Northbound,63,13:00,Monday
27 to 28,Southbound,66,13:00,Monday
28 to 29,Northbound,65,13:00,Monday
28 to 29,Southbound,65,13:00,Monday
29 to 29A,Northbound,67,13:00,Monday
29 to 29A,Southbound,62,13:00,Monday
29A to 30,Northbound,60,13:00,Monday
29A to 30,Southbound,63,13:00,Monday
30 to 31,Northbound,51,13:00,Monday
30 to 31,Southbound,54,13:00,Monday
31 to 32,Northbound,57,13:00,Monday
31 to 32,Southbound,54,13:00,Monday
32 to 33,Northbound,49,13:00,Monday
32 to 33,Southbound,50,13:00,Monday
33 to 34,Northbound,48,13:00,Monday
33 to 34,Southbound,49,13:00,Monday
34 to 35,Northbound,47,13:00,Monday
34 to 35,Southbound,47,13:00,Monday
35 to 35A,Northbound,53,13:00,Monday
35 to 35A,Southbound,50,13:00,Monday
35A to 36,Northbound,61,13:00,Monday
35A to 36,Southbound,60,13:00,Monday
36 to 37,Northbound,64,13:00,Monday
36 to 37,Southbound,65,13:00,Monday
37 to 38,Northbound,64,13:00,Monday
37 to 38,Southbound,66,13:00,Monday
38 to 39,Northbound,68,13:00,Monday
38 to 39,Southbound,67,13:00,Monday
39 to 40,Northbound,61,13:00,Monday
39 to 40,Southbound,67,13:00,Monday
40 to 41,Northbound,63,13:00,Monday
40 to 41,Southbound,67,13:00,Monday
41 to 42,Northbound,66,13:00,Monday
41 to 42,Southbound,63,13:00,Monday
42 to 43/44,Northbound,66,13:00,Monday
42 to 43/44,Southbound,63,13:00,Monday
43/44 to 45,Northbound,66,13:00,Monday
43/44 to 45,Southbound,65,13:00,Monday
45 to 46,Northbound,47,13:00,Monday
